Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
PWin,12143597
PLose,0
DWin,13074635
Draw,1781768
PBJWin,1251145
DBJWin,1253239
BJDraw,47959
PWin16,50232
PLose16,109250
PWinDBust,5440824
PWinSoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,294,969,325662,427800,269331
PWinSoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,294,969,325662,427800,269331
PWinHard,0,0,0,0,0,0,0,0,0,0,0,35,4638,9810,17674,31018,50190,1741182,1772553,1784493,2898130,1555450
PLoseFirst2Soft,0,0,0,0,0,0,0,0,0,0,0,0,41205,134290,146940,159438,172658,152708,149156,107192,46698,3189
PLoseFirst2Hard,0,0,0,0,60173,173488,255368,342283,388245,442318,433289,499302,1511510,1500886,1421710,1386021,1253618,775117,677845,446390,393598,0
PWinFirst2Soft,0,0,0,0,0,0,0,0,0,0,0,0,70304,171341,159095,145143,131898,149147,155071,174425,217334,0
PWinFirst2Hard,0,0,0,0,56286,136619,170633,269458,335104,450034,563573,711293,764463,668319,558720,484634,424936,854553,747882,691287,1627719,0
PTotalHit,24201006
PHitWin,6576071
PStandedWin,4313200
PStandSoftWin,0
PWinAfterHitTime,4313200,4477088,1572964,526019,0,0,0,0,0,0,0,0
PLoseAfterHitTime,3434584,6160748,2917816,561487,0,0,0,0,0,0,0,0
DBustCount,0
BustDraw,0
TotalCheck,8936486
DCheckWin,5063090
DCheckLose,2855887
DCheckWinPreTurn,4517570
DCheckLosePreTurn,2492669
DCheckWinPreTurnScore,0,0,0,0,0,0,0,0,0,0,0
DCheckLosePreTurnScore,0,0,0,0,268263,246001,563846,640627,891793,1907040,0
DCheckWinPostTurn,545520
DCheckLosePostTurn,363218
DCheckWinPostTurnScore,0,0,260865,243525,622377,438762,520931,406209,0,0,0
DCheckLosePostTurnScore,0,0,0,0,0,136392,144124,202628,62376,0,0
DLastWin,4856358
DLastLose,3318573
DCheckWinAgainstSizePreTurn,0,0,645885,2246214,1568617,397264
DCheckLoseAgainstSizePreTurn,22808,0,359797,1058910,793171,280791
DCheckWinAgainstSizePostTurn,0,0,0,81586,399818,64116
DCheckLoseAgainstSizePostTurn,0,0,0,41080,268967,53171
XBCount,124961
PNLCount,527836
DNLCount,68835
XBDrawCount,91
PNLWinCount,526019
DNLWinCount,436867
NLDrawCount,434
Expected Value,-0.0344829
